#Center frequency;2;
#Sampling freq.;70;
#Samples;512;
#Reference amplitude;100;
#;
#Time(us);Amplitude(dB);Amplitude(val);
3.5857;-4.2617E0;6.1223E1;
3.6;-2.5646E0;7.4434E1;
3.6143;-1.3827E0;8.5283E1;
3.6286;-5.9763E-1;9.3351E1;
3.6429;-1.4705E-1;9.8321E1;
3.6571;0E0;1E2;
3.6714;-1.4705E-1;9.8321E1;
3.6857;-5.9763E-1;9.3351E1;
3.7;-1.3827E0;8.5283E1;
3.7143;-2.5646E0;7.4434E1;
3.7286;-4.2617E0;6.1223E1;
3.7429;-6.7148E0;4.6159E1;
3.7571;-1.0511E1;2.9817E1;
3.7714;-1.7848E1;1.2811E1;
3.7857;-2.7474E1;-4.2295E0;
3.8;-1.3686E1;-2.0688E1;
3.8143;-8.8776E0;-3.5985E1;
3.8286;-6.0903E0;-4.96E1;
3.8429;-4.2797E0;-6.1097E1;
3.8571;-3.0818E0;-7.0131E1;
3.8714;-2.3304E0;-7.6468E1;
3.8857;-1.9397E0;-7.9987E1;
3.9;-1.8649E0;-8.0678E1;
3.9143;-2.0865E0;-7.8646E1;
3.9286;-2.6045E0;-7.4093E1;
3.9429;-3.4384E0;-6.731E1;
3.9571;-4.6331E0;-5.8661E1;
3.9714;-6.2741E0;-4.8562E1;
3.9857;-8.528E0;-3.7463E1;
4;-1.1759E1;-2.5827E1;
4.0143;-1.701E1;-1.411E1;
4.0286;-3.1241E1;-2.7412E0;
4.0429;-2.2059E1;7.8896E0;
4.0571;-1.5165E1;1.7449E1;
4.0714;-1.1812E1;2.5669E1;
4.0857;-9.802E0;3.2352E1;
4.1;-8.5481E0;3.7376E1;
4.1143;-7.8094E0;4.0694E1;
4.1286;-7.4676E0;4.2327E1;
4.1429;-7.4602E0;4.2363E1;
4.1571;-7.7564E0;4.0943E1;
4.1714;-8.3466E0;3.8253E1;
4.1857;-9.2405E0;3.4513E1;
4.2;-1.0469E1;2.9961E1;
4.2143;-1.2094E1;2.4849E1;
4.2286;-1.4234E1;1.9422E1;
4.2429;-1.7131E1;1.3915E1;
4.2571;-2.137E1;8.5411E0;
4.2714;-2.9151E1;3.4871E0;
4.2857;-3.9218E1;-1.0942E0;
4.3;-2.5874E1;-5.0852E0;
4.3143;-2.1509E1;-8.405E0;
4.3286;-1.9165E1;-1.1009E1;
4.3429;-1.7798E1;-1.2886E1;
4.3571;-1.7043E1;-1.4055E1;
4.3714;-1.6735E1;-1.4563E1;
4.3857;-1.6787E1;-1.4475E1;
4.4;-1.7156E1;-1.3874E1;
4.4143;-1.7821E1;-1.2852E1;
4.4286;-1.8782E1;-1.1506E1;
4.4429;-2.0059E1;-9.9323E0;
4.4571;-2.1697E1;-8.2254E0;
4.4714;-2.3781E1;-6.4707E0;
4.4857;-2.6478E1;-4.7435E0;
4.5;-3.0152E1;-3.1076E0;
4.5143;-3.5845E1;-1.6133E0;
4.5286;-5.0515E1;-2.9801E-1;
4.5429;-4.1784E1;8.143E-1;
4.5571;-3.5332E1;1.7116E0;
4.5714;-3.2422E1;2.3927E0;
4.5857;-3.0856E1;2.8656E0;
4.6;-3.0045E1;3.146E0;
4.6143;-2.9749E1;3.2549E0;
4.6286;-2.9851E1;3.2171E0;
4.6429;-3.0287E1;3.0596E0;
4.6571;-3.1026E1;2.8099E0;
4.6714;-3.206E1;2.4947E0;
4.6857;-3.3397E1;2.1388E0;
4.7;-3.5068E1;1.7643E0;
4.7143;-3.7137E1;1.3904E0;
4.7286;-3.9721E1;1.0326E0;
4.7429;-4.3062E1;7.0295E-1;
4.7571;-4.7746E1;4.0993E-1;
4.7714;-5.5977E1;1.5891E-1;
4.7857;-6.6437E1;-4.7658E-2;
4.8;-5.3566E1;-2.0974E-1;
4.8143;-4.9648E1;-3.293E-1;
4.8286;-4.7748E1;-4.0981E-1;
4.8429;-4.6825E1;-4.558E-1;
4.8571;-4.6513E1;-4.7243E-1;
4.8714;-4.6648E1;-4.6514E-1;
4.8857;-4.7144E1;-4.3935E-1;
4.9;-4.7955E1;-4.0018E-1;
4.9143;-4.9062E1;-3.5227E-1;
4.9286;-5.0466E1;-2.9971E-1;
4.9429;-5.2185E1;-2.459E-1;
4.9571;-5.4264E1;-1.9355E-1;
4.9714;-5.6788E1;-1.4474E-1;
4.9857;-5.9923E1;-1.0089E-1;
5;-6.4029E1;-6.2886E-2;
5.0143;-7.0137E1;-3.1129E-2;
5.0286;-8.4981E1;-5.6358E-3;
5.0429;-7.7149E1;1.3884E-2;
5.0571;-7.1076E1;2.794E-2;
5.0714;-6.8593E1;3.7183E-2;
5.0857;-6.7464E1;4.2347E-2;
5.1;-6.7094E1;4.4187E-2;
5.1143;-6.7243E1;4.3438E-2;
5.1286;-6.779E1;4.0786E-2;
5.1429;-6.8673E1;3.6841E-2;
5.1571;-6.9863E1;3.2126E-2;
5.1714;-7.135E1;2.7071E-2;
5.1857;-7.3145E1;2.2017E-2;
5.2;-7.5282E1;1.7215E-2;
5.2143;-7.7828E1;1.2841E-2;
5.2286;-8.0912E1;9.003E-3;
5.2429;-8.4803E1;5.7527E-3;
5.2571;-9.0178E1;3.0982E-3;
5.2714;-9.9877E1;1.0143E-3;
5.2857;-1.0524E2;-5.4722E-4;
5.3;-9.5655E1;-1.6491E-3;
5.3143;-9.2537E1;-2.3613E-3;
5.3286;-9.1196E1;-2.7555E-3;
5.3429;-9.0751E1;-2.9004E-3;
5.3571;-9.0875E1;-2.8593E-3;
5.3714;-9.1413E1;-2.6875E-3;
5.3857;-9.2281E1;-2.432E-3;
5.4;-9.3428E1;-2.1311E-3;
5.4143;-9.4825E1;-1.8145E-3;
5.4286;-9.6454E1;-1.5042E-3;
5.4429;-9.8305E1;-1.2156E-3;
5.4571;-1.0037E2;-9.5814E-4;
5.4714;-1.0265E2;-7.3699E-4;
5.4857;-1.0514E2;-5.5358E-4;
5.5;-1.0781E2;-4.068E-4;
5.5143;-1.1064E2;-2.9376E-4;
5.5286;-1.1353E2;-2.1053E-4;
5.5429;-1.1633E2;-1.5262E-4;
5.5571;-1.1875E2;-1.1545E-4;
5.5714;-1.2048E2;-9.4648E-5;
5.5857;-1.2129E2;-8.6223E-5;
5.6;-1.2124E2;-8.6702E-5;
5.6143;-1.2061E2;-9.3173E-5;
5.6286;-1.1972E2;-1.0329E-4;
5.6429;-1.1877E2;-1.1523E-4;
5.6571;-1.1788E2;-1.2764E-4;
5.6714;-1.171E2;-1.3959E-4;
5.6857;-1.1645E2;-1.5047E-4;
5.7;-1.1592E2;-1.5993E-4;
5.7143;-1.155E2;-1.6784E-4;
5.7286;-1.1518E2;-1.7419E-4;
5.7429;-1.1494E2;-1.791E-4;
5.7571;-1.1476E2;-1.8271E-4;
5.7714;-1.1465E2;-1.8522E-4;
5.7857;-1.1457E2;-1.8682E-4;
5.8;-1.1453E2;-1.8769E-4;
5.8143;-1.1452E2;-1.8802E-4;
5.8286;-1.1452E2;-1.8794E-4;
5.8429;-1.1454E2;-1.8759E-4;
5.8571;-1.1456E2;-1.8706E-4;
5.8714;-1.1459E2;-1.8642E-4;
5.8857;-1.1462E2;-1.8574E-4;
5.9;-1.1465E2;-1.8505E-4;
5.9143;-1.1469E2;-1.8439E-4;
5.9286;-1.1471E2;-1.8376E-4;
5.9429;-1.1474E2;-1.8318E-4;
5.9571;-1.1477E2;-1.8264E-4;
5.9714;-1.1479E2;-1.8215E-4;
5.9857;-1.1481E2;-1.817E-4;
6;-1.1483E2;-1.8129E-4;
6.0143;-1.1485E2;-1.8091E-4;
6.0286;-1.1487E2;-1.8055E-4;
6.0429;-1.1488E2;-1.8022E-4;
6.0571;-1.149E2;-1.799E-4;
6.0714;-1.1491E2;-1.796E-4;
6.0857;-1.1493E2;-1.793E-4;
6.1;-1.1494E2;-1.7901E-4;
6.1143;-1.1496E2;-1.7873E-4;
6.1286;-1.1497E2;-1.7846E-4;
6.1429;-1.1498E2;-1.7818E-4;
6.1571;-1.15E2;-1.7792E-4;
6.1714;-1.1501E2;-1.7765E-4;
6.1857;-1.1502E2;-1.7739E-4;
6.2;-1.1503E2;-1.7713E-4;
6.2143;-1.1505E2;-1.7688E-4;
6.2286;-1.1506E2;-1.7663E-4;
6.2429;-1.1507E2;-1.7638E-4;
6.2571;-1.1508E2;-1.7613E-4;
6.2714;-1.151E2;-1.7589E-4;
6.2857;-1.1511E2;-1.7565E-4;
6.3;-1.1512E2;-1.7542E-4;
6.3143;-1.1513E2;-1.7519E-4;
6.3286;-1.1514E2;-1.7496E-4;
6.3429;-1.1515E2;-1.7474E-4;
6.3571;-1.1516E2;-1.7452E-4;
6.3714;-1.1517E2;-1.743E-4;
6.3857;-1.1518E2;-1.7409E-4;
6.4;-1.1519E2;-1.7388E-4;
6.4143;-1.1521E2;-1.7368E-4;
6.4286;-1.1522E2;-1.7347E-4;
6.4429;-1.1523E2;-1.7328E-4;
6.4571;-1.1523E2;-1.7308E-4;
6.4714;-1.1524E2;-1.7289E-4;
6.4857;-1.1525E2;-1.727E-4;
6.5;-1.1526E2;-1.7252E-4;
6.5143;-1.1527E2;-1.7234E-4;
6.5286;-1.1528E2;-1.7217E-4;
6.5429;-1.1529E2;-1.7199E-4;
6.5571;-1.153E2;-1.7182E-4;
6.5714;-1.1531E2;-1.7166E-4;
6.5857;-1.1531E2;-1.715E-4;
6.6;-1.1532E2;-1.7134E-4;
6.6143;-1.1533E2;-1.7118E-4;
6.6286;-1.1534E2;-1.7103E-4;
6.6429;-1.1535E2;-1.7088E-4;
6.6571;-1.1535E2;-1.7073E-4;
6.6714;-1.1536E2;-1.7059E-4;
6.6857;-1.1537E2;-1.7045E-4;
6.7;-1.1537E2;-1.7032E-4;
6.7143;-1.1538E2;-1.7019E-4;
6.7286;-1.1539E2;-1.7006E-4;
6.7429;-1.1539E2;-1.6993E-4;
6.7571;-1.154E2;-1.6981E-4;
6.7714;-1.1541E2;-1.6969E-4;
6.7857;-1.1541E2;-1.6957E-4;
6.8;-1.1542E2;-1.6946E-4;
6.8143;-1.1542E2;-1.6935E-4;
6.8286;-1.1543E2;-1.6925E-4;
6.8429;-1.1543E2;-1.6914E-4;
6.8571;-1.1544E2;-1.6904E-4;
6.8714;-1.1544E2;-1.6895E-4;
6.8857;-1.1545E2;-1.6885E-4;
6.9;-1.1545E2;-1.6876E-4;
6.9143;-1.1546E2;-1.6868E-4;
6.9286;-1.1546E2;-1.6859E-4;
6.9429;-1.1547E2;-1.6851E-4;
6.9571;-1.1547E2;-1.6843E-4;
6.9714;-1.1548E2;-1.6836E-4;
6.9857;-1.1548E2;-1.6829E-4;
7;-1.1548E2;-1.6822E-4;
7.0143;-1.1549E2;-1.6816E-4;
7.0286;-1.1549E2;-1.6809E-4;
7.0429;-1.1549E2;-1.6803E-4;
7.0571;-1.1549E2;-1.6798E-4;
7.0714;-1.155E2;-1.6792E-4;
7.0857;-1.155E2;-1.6787E-4;
7.1;-1.155E2;-1.6783E-4;
7.1143;-1.155E2;-1.6778E-4;
7.1286;-1.1551E2;-1.6774E-4;
7.1429;-1.1551E2;-1.6771E-4;
7.1571;-1.1551E2;-1.6767E-4;
7.1714;-1.1551E2;-1.6764E-4;
7.1857;-1.1551E2;-1.6761E-4;
7.2;-1.1552E2;-1.6759E-4;
7.2143;-1.1552E2;-1.6756E-4;
7.2286;-1.1552E2;-1.6754E-4;
7.2429;-1.1552E2;-1.6753E-4;
7.2571;-1.1552E2;-1.6751E-4;
7.2714;-1.1552E2;-1.675E-4;
7.2857;-1.1552E2;-1.6749E-4;
7.3;-1.1552E2;-1.6749E-4;
